0,1,2,3,4
377.0,,0,0,
352.0,,0,0,
41.0,,0,0,
9.0,,0,0,
57.0,,0,0,
107.0,,0,0,
104.0,,0,0,
94.0,,0,0,
6.0,,0,0,
4.0,,0,0,
17.0,,0,0,
27.0,,0,0,
6.0,,0,0,
4.0,,0,0,
17.0,,0,0,
84.0,,0,0,
65.0,,0,0,
2.0,,0,0,
4.0,,0,0,
12.0,,0,0,
18.0,,0,0,
2.0,,0,0,
4.0,,0,0,
12.0,,0,0,
222.0,,0,0,
211.0,,0,0,
11.0,,0,0,
33.0,,0,0,
55.0,,0,0,
11.0,,0,0,
33.0,,0,0,
92.0,,0,0,
81.0,,0,0,
1.0,,0,0,
10.0,,0,0,
4.0,,0,0,
15.0,,0,0,
71.0,,0,0,
54.0,,0,0,
2.0,,0,0,
1.0,,0,0,
6.0,,0,0,
9.0,,0,0,
2.0,,0,0,
1.0,,0,0,
6.0,,0,0,
71.0,,0,0,
54.0,,0,0,
4.0,,0,0,
1.0,,0,0,
3.0,,0,0,
8.0,,0,0,
4.0,,0,0,
1.0,,0,0,
3.0,,0,0,
125.0,,0,0,
4.0,,0,0,
3.0,,0,0,
10.0,,0,0,
17.0,,0,0,
107.0,,0,0,
98.0,,0,0,
10.0,,0,0,
7.0,,0,0,
22.0,,0,0,
39.0,,0,0,
10.0,,0,0,
7.0,,0,0,
22.0,,0,0,
115.0,,0,0,
113.0,,0,0,
13.0,,0,0,
3.0,,0,0,
13.0,,0,0,
29.0,,0,0,
13.0,,0,0,
3.0,,0,0,
13.0,,0,0,
87.0,,0,0,
76.0,,0,0,
3.0,,0,0,
5.0,,0,0,
6.0,,0,0,
14.0,,0,0,
3.0,,0,0,
5.0,,0,0,
6.0,,0,0,
4.0,,0,0,
57.0,,0,0,
46.0,,0,0,
1.0,,0,0,
1.0,,0,0,
126.0,,0,0,
8.0,,0,0,
2.0,,0,0,
13.0,,0,0,
23.0,,0,0,
160.0,,0,0,
13.0,,0,0,
12.0,,0,0,
9.0,,0,0,
34.0,,0,0,
125.0,,0,0,
1.0,,0,0,
5.0,,0,0,
2.0,,0,0,
7.0,,0,0,
14.0,,0,0,
0.0,,0,0,
0.0,,0,0,
0.0,,0,0,
564.0,,0,0,
162.0,,0,0,
49.0,,0,0,
9.0,,0,0,
90.0,,0,0,
148.0,,0,0,
20.0,,0,0,
7.0,,0,0,
54.0,,0,0,
53.0,,0,0,
0.0,,0,0,
2.0,,0,0,
8.0,,0,0,
10.0,,0,0,
50.0,,0,0,
50.0,,0,0,
1.0,,0,0,
5.0,,0,0,
3.0,,0,0,
71.0,,0,0,
71.0,,0,0,
8.0,,0,0,
3.0,,0,0,
6.0,,0,0,
17.0,,0,0,
8.0,,0,0,
3.0,,0,0,
6.0,,0,0,
112.0,,0,0,
100.0,,0,0,
10.0,,0,0,
2.0,,0,0,
1.0,,0,0,
13.0,,0,0,
10.0,,0,0,
2.0,,0,0,
1.0,,0,0,
158.0,,0,0,
108.0,,0,0,
7.0,,0,0,
11.0,,0,0,
13.0,,0,0,
31.0,,0,0,
7.0,,0,0,
11.0,,0,0,
13.0,,0,0,
90.0,,0,0,
85.0,,0,0,
6.0,,0,0,
2.0,,0,0,
12.0,,0,0,
20.0,,0,0,
6.0,,0,0,
2.0,,0,0,
12.0,,0,0,
172.0,,0,0,
151.0,,0,0,
6.0,,0,0,
2.0,,0,0,
18.0,,0,0,
26.0,,0,0,
6.0,,0,0,
2.0,,0,0,
18.0,,0,0,
65.0,,0,0,
65.0,,0,0,
4.0,,0,0,
1.0,,0,0,
4.0,,0,0,
9.0,,0,0,
4.0,,0,0,
1.0,,0,0,
4.0,,0,0,
97.0,,0,0,
85.0,,0,0,
12.0,,0,0,
5.0,,0,0,
16.0,,0,0,
33.0,,0,0,
12.0,,0,0,
5.0,,0,0,
16.0,,0,0,
175.0,,0,0,
5.0,,0,0,
3.0,,0,0,
15.0,,0,0,
23.0,,0,0,
107.0,,0,0,
62.0,,0,0,
4.0,,0,0,
2.0,,0,0,
5.0,,0,0,
11.0,,0,0,
4.0,,0,0,
2.0,,0,0,
5.0,,0,0,
185.0,,0,0,
162.0,,0,0,
13.0,,0,0,
20.0,,0,0,
36.0,,0,0,
13.0,,0,0,
20.0,,0,0,
66.0,,0,0,
60.0,,0,0,
1.0,,0,0,
3.0,,0,0,
1.0,,0,0,
105.0,,0,0,
27.0,,0,0,
15.0,,0,0,
19.0,,0,0,
34.0,,0,0,
89.0,,0,0,
19.0,,0,0,
15.0,,0,0,
34.0,,0,0,
19.0,,0,0,
15.0,,0,0,
798.0,,0,0,
766.0,,0,0,
55.0,,0,0,
17.0,,0,0,
63.0,,0,0,
135.0,,0,0,
55.0,,0,0,
17.0,,0,0,
63.0,,0,0,
229.0,,0,0,
229.0,,0,0,
24.0,,0,0,
14.0,,0,0,
28.0,,0,0,
66.0,,0,0,
24.0,,0,0,
14.0,,0,0,
28.0,,0,0,
198.0,,0,0,
178.0,,0,0,
15.0,,0,0,
20.0,,0,0,
20.0,,0,0,
55.0,,0,0,
15.0,,0,0,
20.0,,0,0,
20.0,,0,0,
691.0,,0,0,
680.0,,0,0,
22.0,,0,0,
52.0,,0,0,
97.0,,0,0,
22.0,,0,0,
52.0,,0,0,
221.0,,0,0,
219.0,,0,0,
28.0,,0,0,
35.0,,0,0,
36.0,,0,0,
99.0,,0,0,
241.0,,0,0,
202.0,,0,0,
15.0,,0,0,
24.0,,0,0,
45.0,,0,0,
84.0,,0,0,
15.0,,0,0,
24.0,,0,0,
45.0,,0,0,
253.0,,0,0,
245.0,,0,0,
33.0,,0,0,
18.0,,0,0,
35.0,,0,0,
86.0,,0,0,
33.0,,0,0,
18.0,,0,0,
35.0,,0,0,
396.0,,0,0,
284.0,,0,0,
33.0,,0,0,
16.0,,0,0,
58.0,,0,0,
107.0,,0,0,
30.0,,0,0,
46.0,,0,0,
280.0,,0,0,
260.0,,0,0,
24.0,,0,0,
30.0,,0,0,
40.0,,0,0,
94.0,,0,0,
24.0,,0,0,
30.0,,0,0,
40.0,,0,0,
440.0,,0,0,
351.0,,0,0,
17.0,,0,0,
14.0,,0,0,
31.0,,0,0,
62.0,,0,0,
17.0,,0,0,
14.0,,0,0,
31.0,,0,0,
238.0,,0,0,
236.0,,0,0,
20.0,,0,0,
23.0,,0,0,
35.0,,0,0,
78.0,,0,0,
20.0,,0,0,
23.0,,0,0,
35.0,,0,0,
75.0,,0,0,
11.0,,0,0,
6.0,,0,0,
16.0,,0,0,
33.0,,0,0,
489.0,,0,0,
489.0,,0,0,
54.0,,0,0,
79.0,,0,0,
133.0,,0,0,
278.0,,0,0,
36.0,,0,0,
10.0,,0,0,
21.0,,0,0,
67.0,,0,0,
700.0,,0,0,
31.0,,0,0,
24.0,,0,0,
43.0,,0,0,
98.0,,0,0,
548.0,,0,0,
1.0,,0,0,
18.0,,0,0,
7.0,,0,0,
29.0,,0,0,
54.0,,0,0,
0.0,,0,0,
0.0,,0,0,
0.0,,0,0,
131.0,,0,0,
8.0,,0,0,
7.0,,0,0,
11.0,,0,0,
26.0,,0,0,
1117.0,,0,0,
195.0,,0,0,
98.0,,0,0,
18.0,,0,0,
127.0,,0,0,
243.0,,0,0,
53.0,,0,0,
12.0,,0,0,
34.0,,0,0,
168.0,,0,0,
11.0,,0,0,
11.0,,0,0,
19.0,,0,0,
41.0,,0,0,
262.0,,0,0,
227.0,,0,0,
14.0,,0,0,
18.0,,0,0,
37.0,,0,0,
234.0,,0,0,
234.0,,0,0,
18.0,,0,0,
11.0,,0,0,
33.0,,0,0,
62.0,,0,0,
18.0,,0,0,
11.0,,0,0,
33.0,,0,0,
456.0,,0,0,
449.0,,0,0,
8.0,,0,0,
16.0,,0,0,
10.0,,0,0,
34.0,,0,0,
8.0,,0,0,
16.0,,0,0,
10.0,,0,0,
393.0,,0,0,
362.0,,0,0,
30.0,,0,0,
20.0,,0,0,
61.0,,0,0,
111.0,,0,0,
30.0,,0,0,
20.0,,0,0,
61.0,,0,0,
211.0,,0,0,
24.0,,0,0,
10.0,,0,0,
17.0,,0,0,
51.0,,0,0,
24.0,,0,0,
10.0,,0,0,
17.0,,0,0,
640.0,,0,0,
597.0,,0,0,
22.0,,0,0,
10.0,,0,0,
36.0,,0,0,
68.0,,0,0,
22.0,,0,0,
10.0,,0,0,
36.0,,0,0,
253.0,,0,0,
253.0,,0,0,
20.0,,0,0,
6.0,,0,0,
28.0,,0,0,
54.0,,0,0,
20.0,,0,0,
6.0,,0,0,
28.0,,0,0,
205.0,,0,0,
205.0,,0,0,
25.0,,0,0,
9.0,,0,0,
42.0,,0,0,
76.0,,0,0,
25.0,,0,0,
9.0,,0,0,
42.0,,0,0,
500.0,,0,0,
12.0,,0,0,
7.0,,0,0,
36.0,,0,0,
55.0,,0,0,
590.0,,0,0,
36.0,,0,0,
18.0,,0,0,
47.0,,0,0,
101.0,,0,0,
36.0,,0,0,
18.0,,0,0,
47.0,,0,0,
510.0,,0,0,
498.0,,0,0,
25.0,,0,0,
19.0,,0,0,
46.0,,0,0,
25.0,,0,0,
19.0,,0,0,
234.0,,0,0,
217.0,,0,0,
31.0,,0,0,
23.0,,0,0,
41.0,,0,0,
95.0,,0,0,
31.0,,0,0,
23.0,,0,0,
41.0,,0,0,
57.0,,0,0,
380.0,,0,0,
365.0,,0,0,
43.0,,0,0,
17.0,,0,0,
45.0,,0,0,
105.0,,0,0,
43.0,,0,0,
17.0,,0,0,
45.0,,0,0,
1085.0,,0,0,
1080.0,,0,0,
20.0,,0,0,
9.0,,0,0,
31.0,,0,0,
60.0,,0,0,
20.0,,0,0,
9.0,,0,0,
31.0,,0,0,
14.0,,0,0,
14.0,,0,0,
3.0,,0,0,
3.0,,0,0,
3.0,,0,0,
9.0,,0,0,
3.0,,0,0,
3.0,,0,0,
3.0,,0,0,
10.0,,0,0,
7.0,,0,0,
2.0,,0,0,
2.0,,0,0,
4.0,,0,0,
2.0,,0,0,
2.0,,0,0,
45.0,,0,0,
43.0,,0,0,
9.0,,0,0,
16.0,,0,0,
29.0,,0,0,
9.0,,0,0,
16.0,,0,0,
13.0,,0,0,
12.0,,0,0,
3.0,,0,0,
1.0,,0,0,
3.0,,0,0,
7.0,,0,0,
8.0,,0,0,
8.0,,0,0,
1.0,,0,0,
1.0,,0,0,
1.0,,0,0,
6.0,,0,0,
5.0,,0,0,
1.0,,0,0,
1.0,,0,0,
1.0,,0,0,
38.0,,0,0,
3.0,,0,0,
0.0,,0,0,
6.0,,0,0,
9.0,,0,0,
13.0,,0,0,
13.0,,0,0,
3.0,,0,0,
4.0,,0,0,
2.0,,0,0,
9.0,,0,0,
3.0,,0,0,
4.0,,0,0,
2.0,,0,0,
66.0,,0,0,
64.0,,0,0,
2.0,,0,0,
1.0,,0,0,
6.0,,0,0,
9.0,,0,0,
2.0,,0,0,
1.0,,0,0,
6.0,,0,0,
15.0,,0,0,
15.0,,0,0,
4.0,,0,0,
4.0,,0,0,
4.0,,0,0,
3.0,,0,0,
2.0,,0,0,
0.0,,0,0,
0.0,,0,0,
0.0,,0,0,
56.0,,0,0,
5.0,,0,0,
1.0,,0,0,
5.0,,0,0,
11.0,,0,0,
100.0,,0,0,
9.0,,0,0,
5.0,,0,0,
23.0,,0,0,
37.0,,0,0,
32.0,,0,0,
0.0,,0,0,
1.0,,0,0,
0.0,,0,0,
4.0,,0,0,
5.0,,0,0,
0.0,,0,0,
0.0,,0,0,
0.0,,0,0,
6.0,,0,0,
0.0,,0,0,
0.0,,0,0,
2.0,,0,0,
2.0,,0,0,
953.0,,0,0,
522.0,,0,0,
28.0,,0,0,
0.0,,0,0,
142.0,,0,0,
170.0,,0,0,
18.0,,0,0,
0.0,,0,0,
94.0,,0,0,
7.0,,0,0,
0.0,,0,0,
1.0,,0,0,
4.0,,0,0,
5.0,,0,0,
125.0,,0,0,
124.0,,0,0,
16.0,,0,0,
10.0,,0,0,
22.0,,0,0,
5.0,,0,0,
5.0,,0,0,
12.0,,0,0,
9.0,,0,0,
1.0,,0,0,
1.0,,0,0,
1.0,,0,0,
3.0,,0,0,
1.0,,0,0,
1.0,,0,0,
1.0,,0,0,
49.0,,0,0,
32.0,,0,0,
4.0,,0,0,
6.0,,0,0,
10.0,,0,0,
4.0,,0,0,
6.0,,0,0,
12.0,,0,0,
12.0,,0,0,
1.0,,0,0,
4.0,,0,0,
5.0,,0,0,
1.0,,0,0,
4.0,,0,0,
105.0,,0,0,
93.0,,0,0,
5.0,,0,0,
4.0,,0,0,
10.0,,0,0,
19.0,,0,0,
5.0,,0,0,
4.0,,0,0,
10.0,,0,0,
6.0,,0,0,
6.0,,0,0,
2.0,,0,0,
2.0,,0,0,
2.0,,0,0,
19.0,,0,0,
19.0,,0,0,
9.0,,0,0,
2.0,,0,0,
2.0,,0,0,
13.0,,0,0,
9.0,,0,0,
2.0,,0,0,
2.0,,0,0,
146.0,,0,0,
22.0,,0,0,
15.0,,0,0,
8.0,,0,0,
2.0,,0,0,
2.0,,0,0,
140.0,,0,0,
135.0,,0,0,
18.0,,0,0,
25.0,,0,0,
52.0,,0,0,
18.0,,0,0,
25.0,,0,0,
5.0,,0,0,
5.0,,0,0,
1.0,,0,0,
2.0,,0,0,
1.0,,0,0,
105.0,,0,0,
7.0,,0,0,
13.0,,0,0,
15.0,,0,0,
9.0,,0,0,
24.0,,0,0,
24.0,,0,0,
7.0,,0,0,
11.0,,0,0,
18.0,,0,0,
7.0,,0,0,
11.0,,0,0,
239.0,,0,0,
238.0,,0,0,
8.0,,0,0,
17.0,,0,0,
14.0,,0,0,
39.0,,0,0,
21.0,,0,0,
21.0,,0,0,
3.0,,0,0,
1.0,,0,0,
8.0,,0,0,
12.0,,0,0,
3.0,,0,0,
1.0,,0,0,
8.0,,0,0,
19.0,,0,0,
16.0,,0,0,
3.0,,0,0,
3.0,,0,0,
6.0,,0,0,
3.0,,0,0,
3.0,,0,0,
46.0,,0,0,
46.0,,0,0,
5.0,,0,0,
10.0,,0,0,
18.0,,0,0,
5.0,,0,0,
10.0,,0,0,
21.0,,0,0,
21.0,,0,0,
5.0,,0,0,
5.0,,0,0,
6.0,,0,0,
16.0,,0,0,
15.0,,0,0,
15.0,,0,0,
4.0,,0,0,
1.0,,0,0,
1.0,,0,0,
5.0,,0,0,
4.0,,0,0,
1.0,,0,0,
1.0,,0,0,
10.0,,0,0,
5.0,,0,0,
0.0,,0,0,
1.0,,0,0,
0.0,,0,0,
35.0,,0,0,
3.0,,0,0,
0.0,,0,0,
5.0,,0,0,
8.0,,0,0,
21.0,,0,0,
20.0,,0,0,
5.0,,0,0,
5.0,,0,0,
10.0,,0,0,
5.0,,0,0,
5.0,,0,0,
23.0,,0,0,
22.0,,0,0,
2.0,,0,0,
1.0,,0,0,
3.0,,0,0,
6.0,,0,0,
2.0,,0,0,
1.0,,0,0,
3.0,,0,0,
18.0,,0,0,
18.0,,0,0,
1.0,,0,0,
1.0,,0,0,
2.0,,0,0,
1.0,,0,0,
1.0,,0,0,
3.0,,0,0,
3.0,,0,0,
1.0,,0,0,
1.0,,0,0,
1.0,,0,0,
44.0,,0,0,
4.0,,0,0,
0.0,,0,0,
10.0,,0,0,
14.0,,0,0,
91.0,,0,0,
20.0,,0,0,
5.0,,0,0,
22.0,,0,0,
47.0,,0,0,
27.0,,0,0,
6.0,,0,0,
2.0,,0,0,
0.0,,0,0,
3.0,,0,0,
5.0,,0,0,
2.0,,0,0,
0.0,,0,0,
1.0,,0,0,
14.0,,0,0,
1.0,,0,0,
2.0,,0,0,
1.0,,0,0,
4.0,,0,0,
413.0,,0,0,
267.0,,0,0,
15.0,,0,0,
0.0,,0,0,
43.0,,0,0,
58.0,,0,0,
13.0,,0,0,
0.0,,0,0,
36.0,,0,0,
16.0,,0,0,
3.0,,0,0,
1.0,,0,0,
3.0,,0,0,
7.0,,0,0,
8.0,,0,0,
4.0,,0,0,
0.0,,0,0,
0.0,,0,0,
1.0,,0,0,
6.0,,0,0,
6.0,,0,0,
1.0,,0,0,
1.0,,0,0,
2.0,,0,0,
1.0,,0,0,
1.0,,0,0,
19.0,,0,0,
19.0,,0,0,
20.0,,0,0,
17.0,,0,0,
2.0,,0,0,
2.0,,0,0,
2.0,,0,0,
18.0,,0,0,
18.0,,0,0,
3.0,,0,0,
5.0,,0,0,
8.0,,0,0,
3.0,,0,0,
5.0,,0,0,
39.0,,0,0,
35.0,,0,0,
2.0,,0,0,
1.0,,0,0,
6.0,,0,0,
9.0,,0,0,
2.0,,0,0,
1.0,,0,0,
6.0,,0,0,
13.0,,0,0,
13.0,,0,0,
0.0,,0,0,
3.0,,0,0,
3.0,,0,0,
0.0,,0,0,
3.0,,0,0,
19.0,,0,0,
19.0,,0,0,
6.0,,0,0,
0.0,,0,0,
8.0,,0,0,
14.0,,0,0,
6.0,,0,0,
0.0,,0,0,
8.0,,0,0,
39.0,,0,0,
3.0,,0,0,
1.0,,0,0,
4.0,,0,0,
8.0,,0,0,
15.0,,0,0,
9.0,,0,0,
1.0,,0,0,
1.0,,0,0,
1.0,,0,0,
1.0,,0,0,
65.0,,0,0,
64.0,,0,0,
23.0,,0,0,
11.0,,0,0,
44.0,,0,0,
23.0,,0,0,
11.0,,0,0,
11.0,,0,0,
10.0,,0,0,
2.0,,0,0,
1.0,,0,0,
3.0,,0,0,
2.0,,0,0,
1.0,,0,0,
0.0,,0,0,
21.0,,0,0,
21.0,,0,0,
3.0,,0,0,
14.0,,0,0,
17.0,,0,0,
3.0,,0,0,
14.0,,0,0,
22949.0,,0,0,
19981.0,,0,0,
553.0,,0,0,
212.0,,0,0,
585.0,,0,0,
1350.0,,0,0,
3054.0,,0,0,
3054.0,,0,0,
369.0,,0,0,
235.0,,0,0,
488.0,,0,0,
1092.0,,0,0,
369.0,,0,0,
235.0,,0,0,
488.0,,0,0,
1818.0,,0,0,
1438.0,,0,0,
107.0,,0,0,
253.0,,0,0,
63.0,,0,0,
423.0,,0,0,
107.0,,0,0,
253.0,,0,0,
63.0,,0,0,
5304.0,,0,0,
3932.0,,0,0,
293.0,,0,0,
418.0,,0,0,
965.0,,0,0,
293.0,,0,0,
418.0,,0,0,
2256.0,,0,0,
2098.0,,0,0,
412.0,,0,0,
284.0,,0,0,
212.0,,0,0,
908.0,,0,0,
2918.0,,0,0,
1139.0,,0,0,
101.0,,0,0,
33.0,,0,0,
28.0,,0,0,
162.0,,0,0,
101.0,,0,0,
33.0,,0,0,
28.0,,0,0,
2628.0,,0,0,
1163.0,,0,0,
101.0,,0,0,
35.0,,0,0,
76.0,,0,0,
212.0,,0,0,
101.0,,0,0,
35.0,,0,0,
76.0,,0,0,
4982.0,,0,0,
132.0,,0,0,
238.0,,0,0,
421.0,,0,0,
4305.0,,0,0,
3880.0,,0,0,
378.0,,0,0,
212.0,,0,0,
820.0,,0,0,
1410.0,,0,0,
378.0,,0,0,
212.0,,0,0,
820.0,,0,0,
5850.0,,0,0,
5700.0,,0,0,
64.0,,0,0,
17.0,,0,0,
174.0,,0,0,
255.0,,0,0,
2721.0,,0,0,
2433.0,,0,0,
162.0,,0,0,
105.0,,0,0,
382.0,,0,0,
162.0,,0,0,
105.0,,0,0,
438.0,,0,0,
52.0,,0,0,
1050.0,,0,0,
1050.0,,0,0,
25.0,,0,0,
20.0,,0,0,
56.0,,0,0,
101.0,,0,0,
25.0,,0,0,
20.0,,0,0,
56.0,,0,0,
8249.0,,0,0,
269.0,,0,0,
193.0,,0,0,
169.0,,0,0,
631.0,,0,0,
7000.0,,0,0,
520.0,,0,0,
529.0,,0,0,
741.0,,0,0,
1790.0,,0,0,
4606.0,,0,0,
374.0,,0,0,
74.0,,0,0,
28.0,,0,0,
86.0,,0,0,
188.0,,0,0,
18.0,,0,0,
6.0,,0,0,
17.0,,0,0,
1323.0,,0,0,
1205.0,,0,0,
124.0,,0,0,
121.0,,0,0,
109.0,,0,0,
354.0,,0,0,
124.0,,0,0,
121.0,,0,0,
109.0,,0,0,
23296.0,,0,0,
12182.0,,0,0,
212.0,,0,0,
6.0,,0,0,
348.0,,0,0,
566.0,,0,0,
123.0,,0,0,
5.0,,0,0,
213.0,,0,0,
1395.0,,0,0,
117.0,,0,0,
71.0,,0,0,
168.0,,0,0,
356.0,,0,0,
4469.0,,0,0,
2764.0,,0,0,
76.0,,0,0,
213.0,,0,0,
114.0,,0,0,
1376.0,,0,0,
1376.0,,0,0,
122.0,,0,0,
44.0,,0,0,
131.0,,0,0,
297.0,,0,0,
122.0,,0,0,
44.0,,0,0,
131.0,,0,0,
3141.0,,0,0,
2583.0,,0,0,
152.0,,0,0,
124.0,,0,0,
204.0,,0,0,
480.0,,0,0,
140.0,,0,0,
117.0,,0,0,
194.0,,0,0,
3607.0,,0,0,
2927.0,,0,0,
3619.0,,0,0,
171.0,,0,0,
155.0,,0,0,
201.0,,0,0,
527.0,,0,0,
7586.0,,0,0,
6889.0,,0,0,
246.0,,0,0,
272.0,,0,0,
523.0,,0,0,
1041.0,,0,0,
244.0,,0,0,
272.0,,0,0,
519.0,,0,0,
1603.0,,0,0,
1603.0,,0,0,
90.0,,0,0,
39.0,,0,0,
139.0,,0,0,
268.0,,0,0,
2866.0,,0,0,
2712.0,,0,0,
197.0,,0,0,
111.0,,0,0,
362.0,,0,0,
780.0,,0,0,
197.0,,0,0,
111.0,,0,0,
362.0,,0,0,
12141.0,,0,0,
76.0,,0,0,
65.0,,0,0,
56.0,,0,0,
197.0,,0,0,
4562.0,,0,0,
1932.0,,0,0,
113.0,,0,0,
51.0,,0,0,
229.0,,0,0,
393.0,,0,0,
113.0,,0,0,
51.0,,0,0,
229.0,,0,0,
6103.0,,0,0,
199.0,,0,0,
153.0,,0,0,
426.0,,0,0,
199.0,,0,0,
153.0,,0,0,
2013.0,,0,0,
1308.0,,0,0,
67.0,,0,0,
35.0,,0,0,
102.0,,0,0,
204.0,,0,0,
67.0,,0,0,
35.0,,0,0,
102.0,,0,0,
2288.0,,0,0,
123.0,,0,0,
67.0,,0,0,
184.0,,0,0,
63.0,,0,0,
3452.0,,0,0,
3119.0,,0,0,
80.0,,0,0,
254.0,,0,0,
334.0,,0,0,
80.0,,0,0,
254.0,,0,0,
5342.0,,0,0,
5302.0,,0,0,
20.0,,0,0,
3.0,,0,0,
17.0,,0,0,
8.0,,0,0,
4.0,,0,0,
4.0,,0,0,
25.0,,0,0,
8.0,,0,0,
17.0,,0,0,
53.0,,0,0,
15.0,,0,0,
38.0,,0,0,
28.382,,1,0,
16.917,,1,0,
5.53,,1,0,
16.318,,1,0,
5.883,,1,0,
0.992,,1,0,
99.0,,0,0,
99.0,,0,0,
84.0,,0,0,
84.0,,0,0,
18.0,,0,0,
18.0,,0,0,
6.0,,0,0,
6.0,,0,0,
15.0,,0,0,
15.0,,0,0,
39.0,,0,0,
39.0,,0,0,
18.0,,0,0,
18.0,,0,0,
6.0,,0,0,
6.0,,0,0,
15.0,,0,0,
15.0,,0,0,
27.0,,0,0,
66.0,,0,0,
9.0,,0,0,
12.0,,0,0,
1092.0,,0,0,
39.0,,0,0,
39.0,,0,0,
25.962,,1,0,
28.821,,1,0,
64.286,,1,0,
57.143,,1,0,
35.756,,1,0,
39.394,,1,0,
39.394,,1,0,
28.723,,1,0,
28.821,,1,0,
64.286,,1,0,
57.143,,1,0,
35.756,,1,0,
46.429,,1,0,
46.429,,1,0,
142.0,,0,0,
99.0,,0,0,
43.0,,0,0,
123.0,,0,0,
99.0,,0,0,
24.0,,0,0,
4.0,,0,0,
3.0,,0,0,
1.0,,0,0,
3.0,,0,0,
2.0,,0,0,
1.0,,0,0,
22.0,,0,0,
9.0,,0,0,
13.0,,0,0,
29.0,,0,0,
14.0,,0,0,
15.0,,0,0,
4.0,,0,0,
3.0,,0,0,
1.0,,0,0,
3.0,,0,0,
2.0,,0,0,
1.0,,0,0,
22.0,,0,0,
9.0,,0,0,
13.0,,0,0,
18.0,,0,0,
55.0,,0,0,
4.0,,0,0,
6.0,,0,0,
423.0,,0,0,
29.0,,0,0,
14.0,,0,0,
15.0,,0,0,
21.429,,1,0,
27.778,,1,0,
40.0,,1,0,
31.579,,1,0,
23.267,,1,0,
20.423,,1,0,
14.141,,1,0,
34.884,,1,0,
27.692,,1,0,
30.899,,1,0,
57.143,,1,0,
37.5,,1,0,
29.416,,1,0,
23.577,,1,0,
14.141,,1,0,
62.5,,1,0,
1392.0,,0,0,
1229.0,,0,0,
163.0,,0,0,
1376.0,,0,0,
1228.0,,0,0,
148.0,,0,0,
28.0,,0,0,
13.0,,0,0,
15.0,,0,0,
11.0,,0,0,
23.0,,0,0,
4.0,,0,0,
3.0,,0,0,
254.0,,0,0,
11.0,,0,0,
3.0,,0,0,
8.0,,0,0,
